user_id,movie_id,rating,liked,watched_at,title,poster_path,tags
1,258,1.0,0,2024-07-12,Guardians of the Galaxy Vol. 3,https://image.tmdb.org/t/p/original//r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,"['Peter', 'Quill,', 'still', 'reeling', 'from', 'the', 'loss', 'of', 'Gamora,', 'must', 'rally', 'his', 'team', 'around', 'him', 'to', 'defend', 'the', 'universe', 'along', 'with', 'protecting', 'one', 'of', 'their', 'own.', 'A', 'mission', 'that,', 'if', 'not', 'completed', 'successfully,', 'could', 'quite', 'possibly', 'lead', 'to', 'the', 'end', 'of', 'the', 'Guardians', 'as', 'we', 'know', 'them.', 'Action', 'ScienceFiction', 'Adventure', 'hero', 'sequel', 'superhero', 'basedoncomic', 'madscientist', 'superheroteam', 'spaceopera', 'raccoon', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse(mcu)', 'cosmic', 'outerspace', 'chosenfamily', 'ChrisPratt', 'ZoeSaldaña', 'DaveBautista', 'JamesGunn']"
1,3583,3.1,0,2025-03-12,Chip 'n Dale: Rescue Rangers,https://image.tmdb.org/t/p/original//7UGmn8TyWPPzkjhLUW58cOUHjPS.jpg,"['Decades', 'since', 'their', 'successful', 'television', 'series', 'was', 'canceled,', 'Chip', 'has', 'succumbed', 'to', 'a', 'life', 'of', 'suburban', 'domesticity', 'as', 'an', 'insurance', 'salesman.', 'Dale,', 'meanwhile,', 'has', 'had', 'CGI', 'surgery', 'and', 'works', 'the', 'nostalgia', 'convention', 'circuit,', 'desperate', 'to', 'relive', 'his', 'glory', 'days.', 'When', 'a', 'former', 'cast', 'mate', 'mysteriously', 'disappears,', 'Chip', 'and', 'Dale', 'must', 'repair', 'their', 'broken', 'friendship', 'and', 'take', 'on', 'their', 'Rescue', 'Rangers', 'detective', 'personas', 'once', 'again', 'to', 'save', 'their', 'friend’s', 'life.', 'Animation', 'Family', 'Comedy', 'Adventure', 'Mystery', 'peterpan', 'cartoon', 'losangeles,california', 'formerbestfriend', 'missingperson', 'duringcreditsstinger', 'liveactionandanimation', 'bootleg', 'corruptcop', 'AndySamberg', 'JohnMulaney', 'KiKiLayne', 'AkivaSchaffer']"
1,4080,2.0,0,2024-08-31,A Perfect Pairing,https://image.tmdb.org/t/p/original//h65lLhYEfRGOWVZzwX9n7vYOixf.jpg,"['To', 'land', 'a', 'major', 'client,', 'an', 'LA', 'wine', 'exec', 'travels', 'to', 'an', 'Australian', 'sheep', 'station,', 'where', 'she', 'signs', 'on', 'as', 'a', 'ranch', 'hand', 'and', 'hits', 'it', 'off', 'with', 'a', 'rugged', 'local.', 'Comedy', 'Romance', 'sheepranch', 'VictoriaJustice', 'AdamDemos', 'LucaSardelis', 'StuartMcDonald']"
1,5189,2.2,0,2025-02-10,I Am Mother,https://image.tmdb.org/t/p/original//b3jWxwWRFqvNDJTvBcmKJVHnzKK.jpg,"['A', 'teenage', 'girl', 'is', 'raised', 'underground', 'by', 'a', 'robot', '""Mother"",', 'designed', 'to', 'repopulate', 'the', 'earth', 'following', 'an', 'extinction', 'event.', 'But', 'their', 'unique', 'bond', 'is', 'threatened', 'when', 'an', 'inexplicable', 'stranger', 'arrives', 'with', 'alarming', 'news.', 'ScienceFiction', 'Thriller', 'artificialintelligence', 'bunker', 'post-apocalypticfuture', 'robot', 'humanextinction', 'ClaraRugaard', 'RoseByrne', 'HilarySwank', 'GrantSputore']"
1,5602,4.3,1,2024-09-29,The Nutty Professor,https://image.tmdb.org/t/p/original//a3lzU19j7WGfyXVDfPMdh8DAkru.jpg,"['A', 'timid,', 'nearsighted', 'chemistry', 'teacher', 'discovers', 'a', 'magical', 'potion', 'that', 'can', 'transform', 'him', 'into', 'a', 'suave', 'and', 'handsome', 'Romeo.', 'The', 'Jekyll', 'and', 'Hyde', 'game', 'works', 'well', 'enough', 'until', 'the', 'concoction', 'starts', 'to', 'wear', 'off', 'at', 'the', 'most', 'embarrassing', 'times.', 'Comedy', 'Romance', 'ScienceFiction', 'professor', 'chemistry', 'love', 'teacher', 'potion', 'playingpiano', 'JerryLewis', 'StellaStevens', 'DelMoore', 'JerryLewis']"
1,4230,3.3,0,2025-01-08,The Private Life of Sherlock Holmes,https://image.tmdb.org/t/p/original//vQSYu0DXkqTOEfWF21AzaqXxYCZ.jpg,"['Holmes', 'and', 'Dr.', 'Watson', 'take', 'on', 'the', 'case', 'of', 'a', 'beautiful', 'woman', 'whose', 'husband', 'has', 'vanished.', 'The', 'investigation', 'proves', 'strange', 'indeed,', 'involving', 'six', 'missing', 'midgets,', 'villainous', 'monks,', 'a', 'Scottish', 'castle,', 'the', 'Loch', 'Ness', 'monster,', 'and', 'covert', 'naval', 'experiments.', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Romance', 'Thriller', 'History', 'gayinterest', 'lochnessmonster', 'germanspy', 'midgets', 'gaysubtext', 'RobertStephens', 'ColinBlakely', 'GenevièvePage', 'BillyWilder']"
1,2237,2.5,0,2025-01-16,Venus in Fur,https://image.tmdb.org/t/p/original//b9pCYixO3ZO7tB303efB3O4nkqC.jpg,"['An', 'enigmatic', 'actress', 'may', 'have', 'a', 'hidden', 'agenda', 'when', 'she', 'auditions', 'for', 'a', 'part', 'in', 'a', 'misogynistic', ""writer's"", 'play.', 'Drama', 'eroticism', 'feminism', 'seduction', 'masochism', 'theaterplay', 'machismo', 'audition', 'bdsm', 'two-hander', 'EmmanuelleSeigner', 'MathieuAmalric', 'RomanPolanski']"
1,7772,4.7,1,2024-12-25,Kill List,https://image.tmdb.org/t/p/original//qwT2I3ons0oD58jIppKmd4qLtvB.jpg,"['Nearly', 'a', 'year', 'after', 'a', 'botched', 'job,', 'a', 'hitman', 'takes', 'a', 'new', 'assignment', 'with', 'the', 'promise', 'of', 'a', 'big', 'payoff', 'for', 'three', 'killings.', 'What', 'starts', 'off', 'as', 'an', 'easy', 'task', 'soon', 'unravels,', 'sending', 'the', 'killer', 'into', 'the', 'heart', 'of', 'darkness.', 'Horror', 'Thriller', 'Crime', 'posttraumaticstressdisorder', 'hotel', 'husbandwiferelationship', 'hitman', 'infection', 'forest', 'cult', 'priest', 'murderer', 'brutality', 'bonfire', 'ceremony', 'exsoldier', 'ritualsacrifice', 'contractkiller', 'videotape', 'folkhorror', 'sheffield,england', 'NeilMaskell', 'MyAnnaBuring', 'HarrySimpson', 'BenWheatley']"
1,9242,2.6,0,2024-10-27,Breathless,https://image.tmdb.org/t/p/original//Abh2Mra3lE1YIjPvdFYS8O9gQak.jpg,"['Jesse', 'has', 'to', 'get', 'out', 'of', 'Las', 'Vegas', 'quickly', 'and', 'steals', 'a', 'car', 'to', 'drive', 'to', 'L.A.', 'On', 'the', 'way,', 'he', 'shoots', 'a', 'police', 'officer.', 'When', 'he', 'makes', 'it', 'to', 'L.A.', 'he', 'stays', 'with', 'Monica,', 'a', 'girl', 'he', 'has', 'only', 'known', 'for', 'a', 'few', 'days.', 'As', 'the', 'film', 'progresses,', 'the', 'police', 'get', 'closer', 'to', 'him,', 'and', 'the', 'crimes', 'escalate.', 'Romance', 'Drama', 'Action', 'mexico', 'eroticism', 'quickie', 'suspicionofmurder', 'motel', 'seduction', 'finalexam', 'police', 'losangeles,california', 'extramaritalaffair', 'RichardGere', 'ValérieKaprisky', 'ArtMetrano', 'JimMcBride']"
1,7065,1.7,0,2025-03-27,Beastly,https://image.tmdb.org/t/p/original//70ApMWwuuR2uD0vLlTq2TxrrOdU.jpg,"['A', 'modern-day', 'take', 'on', 'the', '""Beauty', 'and', 'the', 'Beast""', 'tale', 'where', 'a', 'New', 'York', 'teen', 'is', 'transformed', 'into', 'a', 'hideous', 'monster', 'in', 'order', 'to', 'find', 'true', 'love.', 'Drama', 'Fantasy', 'Romance', 'basedonnovelorbook', 'love', 'beautifulwoman', 'curse', 'tutor', 'teenageromance', 'modernfairytale', 'basedonyoungadultnovel', 'AlexPettyfer', 'VanessaHudgens', 'Mary-KateOlsen', 'DanielBarnz']"
